cam11-xfr-1,00005,0.229,0.485,0.517,0.930,3,0
cam11-xfr-1,00009,0.168,0.182,0.466,0.713,2,0
cam11-xfr-1,00010,0.392,0.101,0.645,0.671,2,0
cam11-xfr-1,00010,0.224,0.000,0.476,0.377,3,0
cam11-xfr-1,00014,0.244,0.180,0.596,0.717,2,0
cam11-xfr-1,00017,0.303,0.127,0.529,0.669,2,0
cam11-xfr-1,00020,0.166,0.211,0.498,0.684,2,0
cam11-xfr-1,00023,0.230,0.123,0.429,0.682,2,0
cam11-xfr-1,00024,0.277,0.002,0.477,0.377,2,0
cam11-xfr-1,00026,0.098,0.250,0.514,0.735,2,0
cam11-xfr-1,00028,0.237,0.002,0.409,0.292,2,0
cam11-xfr-1,00030,0.296,0.167,0.533,0.748,2,0
cam11-xfr-1,00031,0.129,0.162,0.382,0.700,2,0
cam11-xfr-1,00033,0.327,0.138,0.538,0.733,2,0
cam11-xfr-1,00033,0.129,0.217,0.375,0.798,2,0
cam11-xfr-1,00035,0.117,0.298,0.451,0.763,3,0
cam11-xfr-1,00038,0.042,0.296,0.329,0.840,2,0
cam11-xfr-1,00039,0.117,0.340,0.403,0.814,2,0
cam11-xfr-1,00041,0.124,0.202,0.408,0.761,2,0
cam11-xfr-1,00042,0.261,0.165,0.449,0.722,2,0
cam11-xfr-1,00044,0.064,0.195,0.311,0.882,2,0
cam11-xfr-1,00046,0.258,0.167,0.482,0.684,2,0
cam11-xfr-1,00048,0.253,0.263,0.526,0.930,2,0
cam11-xfr-1,00048,0.029,0.191,0.304,0.752,2,0
cam11-xfr-1,00051,0.044,0.197,0.327,0.761,2,0
cam11-xfr-1,00053,0.154,0.197,0.449,0.697,2,0
cam11-xfr-1,00054,0.171,0.290,0.475,0.851,2,0
cam11-xfr-1,00055,0.107,0.175,0.385,0.689,2,0
cam11-xfr-1,00056,0.145,0.000,0.393,0.246,3,0
cam11-xfr-1,00058,0.089,0.206,0.333,0.713,2,0
cam11-xfr-1,00061,0.118,0.237,0.376,0.693,2,0
cam11-xfr-1,00061,0.087,0.204,0.367,0.686,2,0
cam11-xfr-1,00063,0.077,0.222,0.335,0.752,2,0
cam11-xfr-1,00067,0.166,0.215,0.406,0.722,2,0
cam11-xfr-1,00069,0.000,0.191,0.325,0.814,2,0
cam11-xfr-1,00073,0.202,0.208,0.397,0.733,2,0
cam11-xfr-1,00073,0.000,0.226,0.224,0.774,2,0
cam11-xfr-1,00075,0.190,0.000,0.385,0.430,2,0
cam11-xfr-1,00076,0.018,0.241,0.292,0.761,2,0
cam11-xfr-1,00078,0.165,0.191,0.390,0.689,2,0
cam11-xfr-1,00080,0.019,0.217,0.325,0.733,2,0
cam11-xfr-1,00081,0.040,0.000,0.309,0.296,3,0
cam11-xfr-1,00082,0.000,0.364,0.202,0.831,3,0
cam11-xfr-1,00086,0.116,0.000,0.353,0.294,2,0
cam11-xfr-1,00086,0.000,0.237,0.214,0.643,2,0
cam11-xfr-1,00090,0.000,0.252,0.161,0.730,2,0
cam11-xfr-1,00092,0.026,0.217,0.293,0.647,2,0
cam11-xfr-1,00094,0.001,0.204,0.218,0.763,2,0
cam11-xfr-1,00097,0.000,0.239,0.240,0.647,2,0
cam11-xfr-1,00098,0.057,0.006,0.346,0.397,3,0
cam11-xfr-1,00100,0.000,0.276,0.382,0.888,3,0
cam11-xfr-1,00100,0.035,0.006,0.361,0.403,3,0
cam11-xfr-1,00105,0.001,0.265,0.323,0.816,2,0
cam11-xfr-1,00109,0.001,0.237,0.267,0.873,2,0
cam11-xfr-1,00116,0.001,0.211,0.207,0.759,2,0
cam11-xfr-1,00121,0.000,0.000,0.119,0.386,2,0
cam11-xfr-1,00124,0.000,0.283,0.207,0.748,2,0
cam11-xfr-1,00129,0.000,0.257,0.197,0.638,2,0
cam11-xfr-1,00133,0.000,0.682,0.284,0.991,3,0
